prix,lc,age,qtm,xp,tc
,,,,,
"4,630,500",5/6,17,82,0,594
"4,500,000",4/6,24,59,42,779
"290,000",1/6,27,46,81,953
"30,000",1/6,27,49,26,857
"429,975",2/6,28,83,76,845
"10,000",4/6,23,23,2,220
"500,000",2/6,28,72,86,851
"2,000,000",1/6,28,90,95,884
"4,695,725",4/6,20,60,23,700
"110,000",2/6,25,66,25,758
"10,000",4/6,17,53,1,414
"7,035,502",1/6,28,86,159,1086
"2,470,000",3/6,21,84,11,895
"200,000",5/6,19,64,6,466
"1,000,000",3/6,26,53,45,913
"20,000",5/6,17,70,6,570
"2,400,000",4/6,19,84,1,693
"8,400,000",3/6,22,68,49,1182
"20,000",5/6,19,77,0,600
"10,000",6/6,16,60,0,367
"110,000",6/6,15,87,0,447
"20,000",5/6,15,90,0,384
"1,678,728",2/6,31,93,157,852
,,,,,
"1,353,496",5/6,19,87,5,751
"40,000",5/6,17,55,2,617
"10,000",5/6,16,76,0,436
"10,000",6/6,16,54,2,356
"10,000",6/6,16,77,0,371
"140,000",5/6,18,81,4,731
"20,000",4/6,19,81,1,596
"1,000,000",6/6,18,79,4,657
"10,000",4/6,17,90,2,553
"15,750,000",4/6,20,67,13,1109
"200,000",1/6,28,84,105,920
"100,000",5/6,17,86,6,612
"500,000",3/6,25,84,10,551
,,,,,
"10,000",5/6,16,65,0,348
"10,000",5/6,15,58,0,450
"10,000",6/6,15,40,0,397
"50,000",4/6,19,81,1,549
"10,000",6/6,16,92,1,475
"10,000",6/6,15,45,0,449
"37,622,813",4/6,20,72,1,1159
"19,500,000",4/6,19,81,0,1037
,,,,,
"40,000",5/6,15,72,0,336
"10,000",6/6,15,42,0,435
"30,000",6/6,16,76,0,471
"16,000,000",5/6,21,88,21,1105
"11,000,000",3/6,26,74,91,1255
"7,060,910",2/6,26,64,113,1235
"7,082,705",3/6,26,48,124,1211
"5,360,382",3/6,22,53,9,1069
"75,000",2/6,28,61,52,538
"75,000",6/6,18,74,5,330
"50,000",4/6,17,60,7,674
"1,500,000",4/6,22,81,12,777
"7,490,195",5/6,21,54,22,836
"30,000",5/6,17,63,6,524
"10,000",5/6,18,52,4,491
"2,352,700",5/6,21,67,13,875
"7,682,769",4/6,17,75,2,712
"10,000,000",5/6,19,67,4,708
"10,000",3/6,23,73,30,592
"3,472,875",4/6,21,80,11,847
"10,000",5/6,17,59,5,566
"10,000",5/6,18,37,9,535
"10,000",1/6,27,51,70,927
"70,000",5/6,18,63,6,623
"10,000",5/6,18,66,2,574
"800,000",1/6,31,79,111,580
"50,000",5/6,16,76,0,548
"10,000",5/6,20,26,7,575
"10,000",5/6,17,79,0,530
"80,000",3/6,21,47,6,634
"10,000",5/6,18,55,10,583
"1,000,000",4/6,18,79,11,677
"10,000",4/6,19,50,7,535
"20,000",4/6,19,89,7,682
"30,000",5/6,19,78,3,622
"10,000",3/6,22,48,9,639
"1,071,000",5/6,17,77,4,523
"73,333",1/6,27,54,81,734
"1,000,000",3/6,23,47,28,613
"2,100,000",3/6,22,86,25,833
"10,500,000",3/6,25,87,63,1068
"3,710,189",5/6,19,69,3,937
"600,000",5/6,18,84,2,460
"3,111,110",4/6,20,47,5,762
"160,000",5/6,16,74,0,532
"1,333,333",5/6,18,82,13,705
"500,000",5/6,21,76,6,647
"1,050,000",4/6,22,58,24,720
"50,000",4/6,21,49,4,638
"50,000",3/6,23,45,6,635
"850,855",4/6,22,49,25,881
"30,000",3/6,21,56,7,651
"600,000",6/6,15,82,0,427
"30,000",3/6,24,80,22,624
"10,000",6/6,16,63,2,406
"20,000",6/6,15,61,0,434
"10,000",2/6,23,76,21,592
,,,,,
"1,000,000",4/6,19,91,6,736
"2,500,000",5/6,20,74,13,886
"3,101,364",3/6,22,74,43,1095
"10,000",4/6,20,56,0,562
"100,001",2/6,30,54,92,648
"30,000",3/6,27,42,37,555
"10,000",5/6,16,52,1,461
"1,000,000",3/6,24,71,0,1000
"10,759,899",3/6,27,95,86,1275
"10,000",5/6,19,66,0,644
"1,000,000",1/6,29,55,60,775
"2,325,939",5/6,20,63,5,879
"1,000,000",3/6,24,40,35,610
"10,000",4/6,21,35,3,434
"10,000",5/6,16,88,1,366
"10,000",5/6,16,70,0,443
"20,000",6/6,16,85,0,434
"10,000",4/6,20,50,1,494
"25,000",5/6,16,71,2,423
"1,500,000",3/6,24,60,35,756
"2,000,000",4/6,22,73,33,682
"18,900,000",3/6,23,79,47,913
"8,000,000",5/6,20,51,1,895
"4,000,000",3/6,27,71,38,937
"1,050,000",5/6,16,64,2,547
"8,103,375",2/6,27,77,102,1126
"2,300,000",2/6,23,62,40,805
"13,600,000",4/6,24,56,61,1035
"4,000,000",2/6,25,78,68,1101
"625,000",6/6,17,76,3,543
"100,000",5/6,17,85,6,531
"243,101",3/6,23,73,78,874
"1,575,000",4/6,20,56,13,830
"10,000",6/6,17,89,0,529
"1,653,750",2/6,24,64,40,953
"100,000",3/6,24,40,50,725
"650,000",4/6,20,73,17,634
"945,000",3/6,21,66,1,799
"20,000",4/6,21,76,36,695
"110,000",3/6,21,85,2,757
"40,000",3/6,22,15,6,558
"1,050,000",3/6,23,77,15,753
"2,250,000",5/6,18,74,1,803
"546,000",1/6,31,86,94,767
"20,000",5/6,16,69,0,570
"4,200,000",5/6,18,82,2,771
"100,000",5/6,19,62,7,674
"10,000",5/6,15,80,0,337
"30,000",4/6,22,44,20,730
"20,000",6/6,15,66,0,370
"1,000,000",2/6,27,84,78,918
"13,230,000",4/6,18,88,2,852
"738,729",2/6,28,59,66,846
"10,000",5/6,16,80,0,403
"11,025,000",5/6,20,67,8,1031
"525,000",6/6,18,66,1,676
"7,166,250",2/6,26,90,120,1169
"20,000",6/6,16,69,0,381
"20,000",6/6,15,81,0,364
"5,387,568",2/6,25,69,18,1211
"2,625,000",4/6,23,75,53,986
"5,040,000",1/6,26,50,22,816
"150,000",6/6,15,53,0,428
"10,000",4/6,20,39,1,473
"10,000",3/6,22,71,17,618
"10,000",5/6,16,62,1,411
"20,000",5/6,19,53,4,585
"2,250,000",3/6,24,82,31,954
"50,000",4/6,21,51,23,573
"30,000",5/6,20,49,17,681
"1,000,000",5/6,19,61,19,593
